,year,NPU,change
26,2011.0,B,-599.0
27,2011.0,C,14.0
28,2011.0,D,4.0
29,2011.0,E,-216.0
30,2011.0,F,-173.0
31,2011.0,G,-172.0
32,2011.0,H,54.0
33,2011.0,I,35.0
34,2011.0,J,66.0
35,2011.0,K,-8.0
36,2011.0,L,1.0
37,2011.0,M,333.0
38,2011.0,N,-34.0
39,2011.0,O,52.0
40,2011.0,P,-6.0
41,2011.0,Q,-19.0
42,2011.0,R,-34.0
43,2011.0,S,-9.0
44,2011.0,T,-39.0
45,2011.0,V,141.0
46,2011.0,W,-219.0
47,2011.0,X,125.0
48,2011.0,Y,-140.0
49,2011.0,Z,232.0
50,2012.0,A,26.0
51,2012.0,B,197.0
52,2012.0,C,6.0
53,2012.0,D,62.0
54,2012.0,E,1.0
55,2012.0,F,95.0
56,2012.0,G,105.0
57,2012.0,H,-100.0
58,2012.0,I,-62.0
59,2012.0,J,-299.0
60,2012.0,K,38.0
61,2012.0,L,45.0
62,2012.0,M,-603.0
63,2012.0,N,164.0
64,2012.0,O,103.0
65,2012.0,P,-111.0
66,2012.0,Q,-6.0
67,2012.0,R,-193.0
68,2012.0,S,-75.0
69,2012.0,T,-210.0
70,2012.0,V,-355.0
71,2012.0,W,-118.0
72,2012.0,X,-153.0
73,2012.0,Y,-239.0
74,2012.0,Z,-157.0
75,2013.0,A,59.0
76,2013.0,B,-30.0
77,2013.0,C,-73.0
78,2013.0,D,-126.0
79,2013.0,E,69.0
80,2013.0,F,17.0
81,2013.0,G,-174.0
82,2013.0,H,-180.0
83,2013.0,I,-159.0
84,2013.0,J,-195.0
85,2013.0,K,-256.0
86,2013.0,L,98.0
87,2013.0,M,-17.0
88,2013.0,N,55.0
89,2013.0,O,2.0
90,2013.0,P,103.0
91,2013.0,Q,5.0
92,2013.0,R,-11.0
93,2013.0,S,1.0
94,2013.0,T,-48.0
95,2013.0,V,-11.0
96,2013.0,W,130.0
97,2013.0,X,-123.0
98,2013.0,Y,121.0
99,2013.0,Z,-293.0
100,2014.0,A,-81.0
101,2014.0,B,-115.0
102,2014.0,C,-21.0
103,2014.0,D,104.0
104,2014.0,E,94.0
105,2014.0,F,-97.0
106,2014.0,G,-6.0
107,2014.0,H,-9.0
108,2014.0,I,48.0
109,2014.0,J,-116.0
110,2014.0,K,-41.0
111,2014.0,L,-47.0
112,2014.0,M,85.0
113,2014.0,N,-115.0
114,2014.0,O,-237.0
115,2014.0,P,-184.0
116,2014.0,Q,-12.0
117,2014.0,R,10.0
118,2014.0,S,-70.0
119,2014.0,T,-59.0
120,2014.0,V,-60.0
121,2014.0,W,-194.0
122,2014.0,X,1.0
123,2014.0,Y,-10.0
124,2014.0,Z,26.0
125,2015.0,A,-22.0
126,2015.0,B,82.0
127,2015.0,C,9.0
128,2015.0,D,141.0
129,2015.0,E,-206.0
130,2015.0,F,-58.0
131,2015.0,G,4.0
132,2015.0,H,16.0
133,2015.0,I,-98.0
134,2015.0,J,32.0
135,2015.0,K,-2.0
136,2015.0,L,-1.0
137,2015.0,M,-208.0
138,2015.0,N,-17.0
139,2015.0,O,-91.0
140,2015.0,P,165.0
141,2015.0,Q,0.0
142,2015.0,R,-237.0
143,2015.0,S,-35.0
144,2015.0,T,-17.0
145,2015.0,V,-175.0
146,2015.0,W,-133.0
147,2015.0,X,-48.0
148,2015.0,Y,-129.0
149,2015.0,Z,-76.0
150,2016.0,A,-177.0
151,2016.0,B,-2154.0
152,2016.0,C,-433.0
153,2016.0,D,-983.0
154,2016.0,E,-2574.0
155,2016.0,F,-808.0
156,2016.0,G,-527.0
157,2016.0,H,-650.0
158,2016.0,I,-1100.0
159,2016.0,J,-794.0
160,2016.0,K,-497.0
161,2016.0,L,-823.0
162,2016.0,M,-3352.0
163,2016.0,N,-938.0
164,2016.0,O,-774.0
165,2016.0,P,-983.0
166,2016.0,Q,-20.0
167,2016.0,R,-1124.0
168,2016.0,S,-642.0
169,2016.0,T,-1392.0
170,2016.0,V,-1329.0
171,2016.0,W,-1003.0
172,2016.0,X,-1072.0
173,2016.0,Y,-682.0
174,2016.0,Z,-1177.0
